name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Chasefire AFM,magellan_crackerafm,0,,500,1000,,200,200,20,24,4,24,0.2,4,FRAGMENTATION,,,,3.85,2,0.15,4,12,1,15,,425,175,5,150,,,"ANTI_FTR, DO_NOT_CONSERVE, GROUP_LINKED, DO_NOT_AIM","missile5, SR, magellan_core_bp, magellan_civ_bp, magellan_theherd, magellan_yellowtail_bp, rare_bp",,Magellan,,Anti-fighter,Medium,Good,,,,,,,,2.1
Foxfire Rocket Launcher,magellan_calliope_sm,1,,750,1600,,100,,25,9,5,24,0.2,12,KINETIC,,,,9.25,6,0.15,4,12,1,15,,900,150,3.5,100,,,"GROUP_LINKED, GUIDED_POOR, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","utility9, missile5, magellan, magellan_core_bp, magellan_civ_bp, magellan_yellowtail_bp, rare_bp",magellan_foxfire_only,Magellan,,Fire Support,Very Fast,Good,,,"Dumbfire missiles orient on launch, but do not continue tracking their targets.",,,,,2.1
Foxfire Rocket Battery,magellan_calliope,2,,3000,1600,,100,,25,6,12,72,0.4,24,KINETIC,,,,10.68,12,0.12,4,12,1,15,,900,150,3.5,100,,,"GROUP_LINKED, GUIDED_POOR, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","utility14, missile9, magellan, magellan_adv_bp, rare_bp",magellan_foxfire_only,Magellan,,Fire Support,Very Fast,Good,,,"Dumbfire missiles orient on launch, but do not continue tracking their targets.",,,,,2.1
Flashfire Rocket Barrage,magellan_LKmissile_pod,2,,6400,2000,,200,,40,4,20,90,0.375,30,KINETIC,,,,12.9,15,0.15,2,8,2,10,,800,100,5,175,,,"GROUP_LINKED, GUIDED_POOR, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","utility18, missile12, magellan, rare_bp",magellan_foxfire_only,Magellan,,Fire Support,Fast,Good,,,"Hits on hull or armor raise the target's soft flux by %s. Dumbfire missiles orient on launch, but do not continue tracking their targets.",200,,,,2.1
Ripfire SRM Launcher,magellan_ripfiresrm,0,,600,1200,,150,,10,12,4,30,,,HIGH_EXPLOSIVE,,,,5.8,5,0.15,3,10,2,12,,500,120,7,100,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED","strike9, missile4, magellan, magellan_core_bp, magellan_civ_bp, rare_bp",,Magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,150,,,TRUE,2.1
Ripfire SRM Battery,magellan_ripfiresrmpod,1,,2400,1200,,150,,10,8,10,80,,,HIGH_EXPLOSIVE,,,,7.1,10,0.1,5,15,2,12,,500,120,7,100,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED","strike14, missile10, magellan, magellan_adv_bp, rare_bp",,Magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,150,,,TRUE,2.1
Rendfire SRM System,magellan_rendfiresrmpod,1,,5000,1500,,300,,20,6,18,120,,,HIGH_EXPLOSIVE,,,,15.2,15,0.2,3,10,1,7,,600,50,10,130,,,"STRIKE, DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED","strike18, missile14, magellan, rare_bp",,Magellan,,Strike,Fast,Good,,,Volatile warheads have %s/%s chances to do %s/%s additional damage to armor. This damage is not reduced by armor.,40% | 60% | 100 | 200,,,TRUE,2.1
Slamfire Torpedo Rack,magellan_slamfire_rack,0,,250,1200,,1200,,30,10,3,2,,,HIGH_EXPLOSIVE,0,,,1,1,,0,2,2,5,,750,250,3,350,,,STRIKE,"strike7, rocket3, magellan, magellan_core_bp, rare_bp",,Magellan,,Torpedo,Fast,None,,,Volatile warheads do %s additional damage to armor. This damage is not reduced by armor.,300,,,TRUE,9.8
Slamfire Torpedo (Single),magellan_slamfire_single,0,,150,1200,,1200,,30,10,1,1,,,HIGH_EXPLOSIVE,0,,,3,1,,0,2,2,5,,750,250,3,350,,,STRIKE,"strike5, rocket1, magellan_civ, magellan_civ_bp, rare_bp",,Magellan,,Torpedo,Fast,None,,,Volatile warheads do %s additional damage to armor. This damage is not reduced by armor.,300,,,TRUE,9.9
Longfire TBM-L Pod,magellan_stratLRM_launcher,0,0.5,1000,4000,,800,,15,12,8,20,0.075,4,FRAGMENTATION,,,,19.5333,4,0.6,12,16,1,5,,250,175,25,200,,,"STRIKE, USE_VS_FRIGATES, GROUP_LINKED, DO_NOT_AIM, DIRECT_AIM, DO_NOT_CONSERVE","utility12, missile8, magellan, magellan_core_bp, magellan_civ_bp, magellan_yellowtail_bp, rare_bp",magellan_SBMonly,Magellan,,Bombardment,Very Slow,Poor,,,Massive warheads deal an extra %s of their base damage to armor on direct hits. This damage is not reduced by armor.,25%,The missile enters a dumbfire sprint mode %s from the target.,1000su,,2.1
Longfire TBM-H Catapult,magellan_stratLRM_catapult,1,0.5,3000,4000,,1600,,50,8,16,12,0.0625,2,FRAGMENTATION,,,,9.8667,2,0.8,8,12,2,5,,200,125,30,500,,,"STRIKE, GROUP_LINKED, DO_NOT_AIM, DIRECT_AIM, DO_NOT_CONSERVE","utility18, missile12, magellan, magellan_adv_bp, magellan_yellowtail_bp, rare_bp",magellan_SBMonly,Magellan,,Bombardment,Slow,Very Poor,,,Massive warheads deal an extra %s of their base damage to armor on direct hits. This damage is not reduced by armor.,25%,The missile enters a dumbfire sprint mode %s from the target.,1500su,,2.1
Balefire MRM Tube,magellan_balefiremrm_tube,1,0.5,1250,2000,,600,,25,15,5,6,,,ENERGY,100,,,10,1,,1,4,2,15,,400,100,6,275,,,"DO_NOT_AIM, GROUP_ALTERNATING, DO_NOT_CONSERVE","utility5, missile6, magellan, magellan_adv_bp, rare_bp",,Magellan,,Fire Support,Medium,Good,,,Unstable fusion warheads do %s extra %s damage on hits to armor or hull.,150-300 | Energy,,,TRUE,2.1
Balefire MRM Pod,magellan_balefiremrm_pod,2,,5000,2000,,400,,25,10,12,30,,,ENERGY,50,,,14,3,0.5,2,8,2,10,,400,100,6,225,,,"DO_NOT_AIM, GROUP_ALTERNATING, DO_NOT_CONSERVE","utility12, missile10, magellan, magellan_adv_bp, rare_bp",,Magellan,,Fire Support,Medium,Good,,,Unstable fusion warheads do %s extra %s damage on hits to armor or hull.,100-200 | Energy,,,TRUE,2.1
Balefire MRM Battery,magellan_balefiremrm_battery,3,,10000,2000,,400,,25,8,24,60,,,ENERGY,50,,,17.5,6,0.5,4,12,2,10,,400,100,6,225,,,"DO_NOT_AIM, GROUP_ALTERNATING, DO_NOT_CONSERVE","utility18, missile16, magellan, magellan_adv_bp, rare_bp",,Magellan,,Fire Support,Medium,Good,,,Unstable fusion warheads do %s extra %s damage on hits to armor or hull.,100-200 | Energy,,,TRUE,2.1
Fusion Bomb Launcher,magellan_hvyfusionbomb_pod,2,,3000,1000,,2000,,50,12,10,8,0.03333,1,ENERGY,500,,,10,1,0,0,0,0,0,,300,400,4.5,1000,0.25,,STRIKE,"strike13, rocket10, magellan, magellan_adv_bp, archaic_c, rare_bp",,Magellan,,Strike,Slow,None,,,Projectile can be %s by point defense systems.,intercepted,%s: does not benefit from ballistic or missile bonuses.,Archaic,,2.1
Fusion Bomb Barrage,magellan_hvyfusionbomb_barrage,3,,7500,1000,,500,,15,8,20,120,0.4,12,ENERGY,125,,,14.35,6,0.15,12,30,2,5,,300,400,5.25,250,0.2,,"STRIKE, USE_VS_FRIGATES","strike19, rocket15, magellan, rare_bp, archaic_c",,Magellan,,Strike,Slow,None,,Spread Pattern,Projectile can be %s by point defense systems.,intercepted,%s: does not benefit from ballistic or missile bonuses.,Archaic,,2.1
Witchfire ASM Launcher,magellan_witchfire_s,3,0.5,5000,4000,,1000,,100,10,12,2,0.03333,1,KINETIC,,,,15,1,,,,,,,250,100,30,500,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, DO_NOT_CONSERVE","missile12, magellan, magellan_adv_bp, rare_bp",,Magellan,,Anti Shield,Very Slow,Very Poor,,,"After a %s arming sequence, missile will accelerate to tremendous speed upon nearing the target.",3 second,,,TRUE,2.1
Witchfire ASM Battery,magellan_witchfire_l,3,0.5,10000,4000,,1000,,100,8,24,4,0.06666,2,KINETIC,,,,14.5,2,0.5,,,,,,250,100,30,500,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, DO_NOT_CONSERVE","missile18, magellan, magellan_adv_bp, rare_bp",,Magellan,,Anti Shield,Very Slow,Very Poor,,,"After a %s arming sequence, missile will accelerate to tremendous speed upon nearing the target.",3 second,,,TRUE,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authority Heavy Maser,magellan_maser,3,0.3,10000,1000,1000,,500,0,15,22,,,,FRAGMENTATION,,300,0.1,0.1,,,,,,,30000,,,,,,,,"beam15, energy15, magellan, magellan_adv_bp, magellan_blackcollar, magellan_startiger, rare_bp",,Magellan,,Fire Support,,,,,"Hits on hull or armor periodically arc to weapons and engines, dealing %s additional EMP damage.",200%,,,,24.1
Combat Burst Laser,magellan_cbeam,1,,1500,1000,429,,,0,15,10,,,,ENERGY,,444,0.1,0.4,0.8,0.3,,,,,30000,,,,,,,,"beam12, magellan, magellan_civ, magellan_civ_bp, rare_bp",,Magellan,,General,,,,,,,,,,80
Micro Burst Laser,magellan_smpulse_laser,1,,450,800,225.7,,,0,20,4,,,,ENERGY,,240,0.1,0.4,0.4,0.3,,,,,30000,,,,,,,,"beam9, magellan, magellan_civ, magellan_civ_bp, rare_bp",,Magellan,,General,,,,,,,,,,80
Electron Bomb Pod,magellan_electrontorp,2,0.7,1000,400,,400,1200,0,30,7,3,0.1,1,ENERGY,600,,0.2,4.8,,,0,0,0,0,,450,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike8, magellan, rare_bp, magellan_yellowtail_bp",SR_strike_only,Magellan,,Strike,,,,,"Hits on hull or armor will %s, dealing extra damage equal to %s of the original hit.",arc to multiple weapons and engines | 20%,,,,19.75
Twin Electron Bomb,magellan_dualelectrontorp,3,0.7,2400,500,,300,800,0,30,14,8,0.1,2,ENERGY,450,,0.3,5.52,2,0.18,0,4,2,10,,450,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike15, magellan, rare_bp, magellan_yellowtail_bp",SR_strike_only,Magellan,,Strike,,,,,"Hits on hull or armor will %s, dealing extra damage equal to %s of the original hit.",arc to multiple weapons and engines | 20%,,,,19.75
Light Fusion Torch,magellan_smhetlaser,1,0.7,900,500,,50,,0,15,7,400,,,HIGH_EXPLOSIVE,25,,0.1,4.9,5,0.05,0,0,0,0,,500,,,,,,,"energy9, strike7, SR, magellan, magellan_adv_bp, magellan_blackcollar, magellan_startiger, rare_bp",,Magellan,,Anti Armor,,,,,,,,,,20
Heavy Fusion Torch,magellan_medhetlaser,2,0.3,2000,600,,100,,0,15,12,400,,,HIGH_EXPLOSIVE,50,,0.1,4.9,5,0.05,0,0,0,0,,600,,,,,,,"energy14, strike10, SR, magellan, magellan_startiger, rare_bp",,Magellan,,Anti Armor,,,,,,,,,,20
Modular Fusion Cannon,magellan_mfc,3,0.3,10000,800,,400,,0,8,25,6,0.5,3,ENERGY,600,,0.2,2,1.5,0.4,2,8,1.5,10,,800,,,,,,"STRIKE, USE_VS_FRIGATES","energy20, strike20, magellan, magellan_adv_bp, magellan_blackcollar, magellan_startiger, rare_bp",,Magellan,,Strike,,,,,Unstable fusion bolts do %s extra %s damage on hits to armor or hull.,100-200 | Energy,,,,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linked Flak,magellan_linkflak,3,,500,500,,100,,4,30,5,,,,FRAGMENTATION,25,,,1.25,1,,0.15,0.75,0.15,15,,900,,,100,,,"PD, PD_ONLY, SYSTEM","he3, pd7",,Magellan,,Point Defense,,,,,,,,,,1.8
Electron Charge PD,magellan_triflak,3,,1250,700,,120,,4,40,7,,,,ENERGY,100,,,0.75,1,,2,6,2,6,,500,750,15,360,,,"BOMB, PD, PD_ONLY, SYSTEM","energy5, pd8",,Magellan,,Point Defense,,,,,Chaff rounds %s for a short time after detonation.,decoy missiles,,,,1.8
Charge Launcher,magellan_flakcharge,0,,800,500,,75,,50,45,4,,,,HIGH_EXPLOSIVE,60,,,0.75,1,,3,9,3,10,,500,750,10,200,,,SYSTEM,he7,,Magellan,,Anti Armor,,,,,,,,,,1.5
Stormfire MRM-C Launcher,magellan_clusterlrm_builtin,3,,3000,2500,,750,,25,0,25,40,0.1667,4,HIGH_EXPLOSIVE,0,,,11.3,4,0.5,2,10,2,10,,325,100,25,225,,,"DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM",missile15,,Magellan,,Fire Support,Medium,Good,,,Submunitions each do %s additional damage to armor. This damage is not reduced by armor.,150,,,TRUE,2.1
Balefire MRM Launcher,magellan_cruiserlrm_builtin,0,,5000,2000,,600,,25,0,25,32,0.1,4,ENERGY,100,,,14.5,4,0.5,2,10,2,10,,400,100,12.5,275,,,"DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM, SYSTEM",missile16,,Magellan,,Fire Support,Medium,Good,,,Unstable fusion warheads do %s extra %s damage on hits to armor or hull.,150-300 | Energy,,,TRUE,2.1
Heavy Fusion Cannon,magellan_scatterblaster,3,,4000,700,,600,,0,15,15,,,,ENERGY,900,,0.1,1.4,1,,1,5,2,10,,750,,,,,,SYSTEM,energy20,,Magellan,,Strike,,,,,Unstable fusion bolts do %s extra %s damage on hits to armor or hull.,150-300 | Energy,,,,4.75
Triple Fusion Cannon,magellan_trinitycannon,3,,10000,800,,400,,0,8,30,,,,ENERGY,600,,0.2,2,1.5,0.4,2,8,1.5,10,,800,,,,,,"STRIKE, USE_VS_FRIGATES, SYSTEM",energy20,,Magellan,,Strike,,,,,Unstable fusion bolts do %s extra %s damage on hits to armor or hull.,100-200 | Energy,,,,4.75
Heavy Electron Lance,magellan_bursttpc,3,,7500,1200,1200.5,,400,0,7,20,,,,ENERGY,,1714,0.2,2.4,0.6,2.2,,,,,30000,,,,,,,SYSTEM,"energy20, beam10",,Magellan,,General,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighter built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Flenser Pod,magellan_smciws_ftr,3,,300,350,,25,,1,75,2,,,,HIGH_EXPLOSIVE,8,,,0.55,1,0.05,2,7,1,10,,1100,,,10,,,"PD, SYSTEM","pd7, SR",,Magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 50% | 50%,,,,1.6
Heavy Flenser Pod,magellan_medciws_ftr,0,,1200,450,,50,,1,60,10,,,,HIGH_EXPLOSIVE,25,,,0.73,6,0.07,4,12,2,10,,1100,,,10,,,"PD, PD_ALSO, SYSTEM, SYSTEM","pd11, SR",,Magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 50% | 50%,,,,1.7
Mini PD Maser,magellan_dronemaser,0,,500,500,75,,100,0,105,4,,,,FRAGMENTATION,,25,0.1,0.1,,,,,,,10000,,,,,,,"PD, SYSTEM, SYSTEM","pd7, beam4",,Magellan,,Point Defense,,,,,,,,,,1.9
Targeting Laser,magellan_targetingbeam,0,,2000,1200,1,,,0,30,5,,,,ENERGY,,1,0.1,0.1,,,,,,,40000,,,,,,,SYSTEM,"energy0, beam0",,,,Targeting,,,,,Paints targets for the ship's missiles.,,,,,1.9
Ripfire SRM Bay,magellan_ripfireftr,0,,600,800,,150,,10,4,2,9,,,HIGH_EXPLOSIVE,0,,,4.9,3,0.05,0,0,0,0,,500,100,5,100,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED, SYSTEM","strike9, missile4",,Magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,150,,,TRUE,2.1
