id,type,text1,text2,text3,notes
magellan_targdrone_mod,SHIP,"A field-modified targeting drone gutted and redesigned for fire support, mounting auxiliary armor, a light autocannon, and an upgraded point-defense emitter.",Modified Targeting Drone,,
magellan_bounder,SHIP,"A highly maneuverable strikecraft with an extremely flexible loadout, adapted by insurgent salvagers from ancient heavy fighter frames to mount diverse missile and ballistic payloads.",,,
magellan_dronecarrier,SHIP,An automated defense drone platform equipped with light weapons and its own dedicated drone fighter wing for perimeter security.,Automated Drone Platform,,
magellan_dronebomber,SHIP,"A wing of automated bomber drones, heavily armored and equipped with a high-capacity internal bomb bay.",,,
magellan_dronefighter,SHIP,"A wing of automated gun drones, heavily armored and equipped with twin-linked machine guns for relentless anti-fighter screening.",,,
magellan_dronegunner,SHIP,A compact automated defense drone armed with a versatile mix of light cannons to harass incoming bombers.,Automated Gun Drone,,
magellan_dronemissilefrig,SHIP,A sub-frigate automated defense drone armed with guided missiles and ballistic weaponry for autonomous sector interdiction.,Automated Missile Drone,,
magellan_droneship,SHIP,A heavy automated defense drone armed with diverse weaponry and protected by a Damper Field generator for sustained area defense.,Heavy Defense Drone,,
magellan_droneturret,SHIP,An automated long-range orbital defense platform armed with a single heavy capital-grade weapon mount.,Orbital Defense Drone,,
magellan_flakdrone_smuggler,SHIP,An advanced point-defense drone modified by Dunerunner smugglers to provide localized screening and sensor masking during illicit transit operations.,Screening Drone,,
magellan_missiledrone,SHIP,A lightweight loitering missile drone capable of extended area denial and equipped with a low-powered point-defense maser.,Missile Drone,,
magellan_mech1,SHIP,"An experimental aerospace frame adapted from luxury exploratory craft, rebuilt with military-grade armor plates and modular weapons hardpoints.",,,
magellan_battlecruiser,SHIP,"Surpassingly ugly and equally effective; a battlecruiser design that foregoes all attempt at subtlety in favor of raw frontal firepower, built around a huge spinal fusion lance and backed up by an impressive array of ballistics and a single flight deck. These ships represent an aggressive engagement philosophy for the doctrinaire Magellan Fleet.",,,
magellan_battleship,SHIP,"Nothing more than a titanic slab of composite armor pocked by engine nozzles and massive gun emplacements, these immense warships are the Magellan Fleet's raison d'etre—the heavy triphammers meant to smash an enemy's battle-line into glowing clouds of slag, gas, and shoals of twisted metal fragments.",,,
magellan_carrier,SHIP,"A tried-and-true fleet carrier design, armed defensively but exceptionally capable of maintaining sustained fighter wings and long-range missile fire support across extended campaigns.",,,
magellan_carrier_leveller,SHIP,"Through a remarkable feat of clandestine engineering, the Levellers have rebuilt the Hager-class supply hull into a high-capacity drone carrier. While lightly armored, the overwhelming waves of automated strike craft it can unleash make it a pivotal asset in revolutionary operations.",,,
magellan_cbtfreight,SHIP,"Simple, durable, and rugged, these armed freighters are heavily weighted toward the 'combat' side. While not the equal of dedicated line cruisers, woe betide the pirates who find themselves caught between the crossed arcs of their heavy gun turrets.",,,
magellan_cbtfreight_smuggler,SHIP,"A heavily modified Talley-class merchantman operated by the Dunerunners. Outfitted with smuggled high-end subsystems from across the Sector, reinforced cargo shielding, and concealed weapons sponsons, it presents a formidable challenge to customs patrols.",,,
magellan_cruiser,SHIP,"A solid, unyielding line cruiser, this veteran design is essentially unchanged from the first models rushed out to defend the Khamn system during the First AI War. What it lacks in speed, it makes up for in stubborn durability and dependable firepower.",,,
magellan_fastdestroyer,SHIP,"Unusual for a Magellan design, this swift and mobile combatant emphasizes aggressive alpha strikes and sports a reinforced armored prow for ramming maneuvers. Captains are cautioned to keep threats forward, where its armor is thickest.",,,
magellan_fastdestroyer_bc,SHIP,"Fresh from the nanoforge with the latest improvements in Protectorate metallurgy, this Blackcollar refit of the Capella sports a radar-absorbent stealth coating and an experimental neural interface for razor-sharp combat response.",,,
magellan_fastdestroyer_leveller_mod,SHIP,"An extraordinary skunkworks vessel created in secret for the Levellers, incorporating a retrofitted Sigma Reaction Furnace, advanced shielding, multi-beam PD nodes, and an integrated Magnetic Hypergun for astonishing acrobatic mobility and firepower.",,,
magellan_fastfrigate,SHIP,"A modern, high-end frigate design engineered to shore up the traditional weakness of Magellan skirmishing lines. Its most distinctive asset is an advanced companion flak drone that provides superb point-defense coverage.",,,
magellan_fuel,SHIP,"A militarized heavy tanker converted from the Phillips hull. Strictly regulated by the Protectorate, these tankers are vital to maintaining fleet operational range across the Persean Sector.",,,
magellan_modularfrigate,SHIP,"An ancient modular escort craft renowned for its low maintenance overhead and flexible weapons layout, serving as a reliable workhorse across all echelons of the Magellan Fleet.",,,
magellan_mothership_base,SHIP,"These ponderous ancient craft were the command vessels of the original exile fleet that led the Magellan refugees across the void. Cavernous internal bays house dormant autoforges, relic technology, and historical archives of immense value.",,,
magellan_mothership_tmc,SHIP,"A painstakingly restored colonial mothership operated by the Tichel Mercantile Concern, housing industrial-scale fabrication suites and extensive logistics arrays to spearhead deep-space commercial expansion.",,,
magellan_lev_dronefrig,SHIP,"A simple and utterly disposable drone corvette utilized by the Levellers as a combat screen, requiring minimal crew thanks to clandestine automation suites.",,,
magellan_lev_lancefrig,SHIP,"An agile insurgent corvette armed with a spinal energy lance, designed to harass enemy flanks and deliver precision strikes against vulnerable logistics ships.",,,
magellan_lightcruiser,SHIP,"A modern, well-balanced light cruiser emphasizing long-range reconnaissance, responsive maneuvering, and versatile weapons coverage, rapidly replacing aging hulls in frontier patrol service.",,,
magellan_linedestroyer,SHIP,"A stolid, brick-shaped brawler built for outright brawling at short-to-medium ranges, boasting versatile weapons mounts and heavy composite armor belts.",,,
magellan_linefrigate,SHIP,"A battle-tested frigate that has seen continuous service since the First AI War. Though conservatively armed, its rugged hull construction makes it remarkably tenacious in a line engagement.",,,
magellan_ltfreight,SHIP,"The backbone of independent trade in the Khamn cluster, this durable light freighter offers superior hull protection compared to standard civilian transports, ensuring cargo arrives intact.",,,
magellan_ltfreight_cbt,SHIP,An up-armored variant of the light freighter featuring augmented turret mounts and reinforced shielding to deter opportunistic raiders in hazardous fringe systems.,Armed Light Freighter,,
magellan_patroldestroyer,SHIP,"A long-range patrol destroyer equipped with an integrated fighter bay, advanced sensor arrays, and high-capacity fuel bunkerage, excelling at extended anti-piracy sweeps.",,,
magellan_patroldestroyer_smuggler,SHIP,"A customized Kant scout destroyer operated by Dunerunner smugglers, featuring specialized planetary survey gear, concealed cargo holds, and reinforced missile sponsons.",,,
magellan_phasecruiser,SHIP,"Adapted from early Protectorate phase-cloak testbed platforms, this imposing heavy cruiser uses its phase coils to position devastating ballistic and energy batteries into vulnerable enemy flanks.",,,
magellan_phasefrig,SHIP,"A durable phase frigate notable for its outsized bow mount and modular internal framing, allowing pilots to ambush heavier combatants before slipping back into the phase realm.",,,
magellan_supply,SHIP,"Slow, bulky, heavily armored, and largely defenseless; penal logistics crews have maintained these rugged supply ships for centuries, outliving generations of the malcontents who crewed them.",,,
magellan_supportcruiser,SHIP,"A dedicated fleet artillery platform built with an unusual asymmetric hull that houses a monstrous missile installation, delivering devastating long-range barrages.",,,
magellan_supportdestroyer,SHIP,"Tough, swift, and armed to the teeth; a mainstay of Magellan patrol operations whose forward firing arc represents a lethal killzone for any frigate foolish enough to approach.",,,
magellan_supportfrigate,SHIP,"A versatile combat frigate equipped with an afterburning propulsion pack, ideal for fast pursuit, picket duty, and dynamic flanking maneuvers.",,,
magellan_carrierconverted,SHIP,"A light carrier conversion of the Talley merchant hull that replaces main cargo bays with a flight deck and missile autoloader, proven through centuries of combat service.",,,
magellan_carrierconverted_bcr,SHIP,"Favored by Blackcollar shock assault units, this converted carrier blends rapid flight deck cycling with devastating short-range missile barrages to support orbital breach operations.",,,
magellan_carrier_marauder,SHIP,"A heavily modified Edger carrier created by Tai Cor-Lan, replacing a flight deck with a heavy ballistic hardpoint, integrating a massive missile array, and launching customized Lochaber strike wings.",,,
magellan_schooner,SHIP,"An antiquated, temperamental armed merchant schooner. While demanding to maintain, its spacious cargo bays, respectable armament, and surprising agility make it a cherished classic among veteran spacers.",,,
magellan_skiff,SHIP,"A rugged civilian runabout unique to Magellan space, armored and armed to a standard that rivals military patrol craft in more civilized sectors.",,,
magellan_skipjack,SHIP,"A prestigious clipper combining high cruise speed, generous reactor performance, and elegant lines, traditionally awarded by the High Protector as patronage rewards to distinguished captains.",,,
magellan_skate,SHIP,"An ancient escort fighter built for exclusive use with the Mallory clipper, combining blistering speed with generous missile payloads for general-purpose space superiority.",,,
magellan_rounder,SHIP,"An ancient heavy support fighter designed for the Mallory clipper, featuring thick shielding and heavy armor to threaten enemy destroyers and frigates.",,,
magellan_rounder_leveller,SHIP,"An inventive Leveller conversion of the Rounder heavy fighter into a high-speed strike bomber, deploying cluster munitions in hit-and-run raids.",,,
magellan_rounder_blackcollar,SHIP,"An expertly rebuilt Blackcollar variant of the Rounder, upgraded with modern avionics and long-range missile launchers to provide continuous fire support from carrier decks.",,,
magellan_battleship_ancient,SHIP,"A colossal relic warship predating the Domain's arrival in the Persean Sector. Mounting ancient spinal lances and thick composite armor slabs, it remains a terrifying force on the modern battlefield.",,,
magellan_balefiremrm_ftr,WEAPON,"A compact pod for Balefire heavy fusion missiles, requiring strike craft to redock for replenishment once its ammunition is expended.",Strike,,
magellan_balefiremrm_tube,WEAPON,"A launch tube for Balefire heavy fusion missiles. While lacking the sheer kinetic penetration of heavy torpedoes, the Balefire delivers intense thermal energy that severely stresses shields and burns exposed armor.",Fire Support,,
magellan_balefiremrm_pod,WEAPON,"A medium launch system for Balefire fusion missiles, holding generous reloads in an armored carousel for sustained long-range bombardment.",Fire Support,,
magellan_balefiremrm_battery,WEAPON,"A capital-grade launch battery for Balefire heavy fusion missiles, housing a vast internal magazine to maintain unrelenting missile pressure across extended fleet engagements.",Fire Support,,
magellan_balefiremrm_ftr2,WEAPON,"An internal magazine of Balefire fusion missiles with an articulated launcher arm, enabling strike craft to acquire and engage targets from any angle.",Fire Support,,
magellan_beehive,WEAPON,"A large-caliber smoothbore cannon firing a scattering blast of high-explosive canister shells, devastating exposed hulls and lightly armored vessels at medium range.",Strike,,
magellan_bonecracker,WEAPON,"A compact fragmentation shotgun that flings an explosive core surrounded by a swarm of semi-molten shrapnel, tearing apart damaged armor belts and exposed internal compartments.",Assault,,
magellan_bonecracker_ftr,WEAPON,"A lightweight fragmentation shotgun integrated into strike craft mounts, delivering lethal bursts against unshielded targets.",Assault,,
magellan_bonecrusher,WEAPON,"A heavy, hard-hitting autocannon that fires massive semi-molten penetrators. The heavy kinetic-thermal slugs punch through thick armor belts with brutal efficiency.",Assault,,
magellan_bonecrusher_ftr,WEAPON,"A lightened Bonethrower cannon integrated into fighter fuselages, trading sustained fire rate for exceptional single-shot punch.",Assault,,
magellan_largebonecrusher,WEAPON,A twin-mount heavy autocannon firing linked salvos of semi-molten bolts. The heavy cast-iridium turret housing provides excellent stability and crew protection during ferocious line brawls.,Assault,,
magellan_bonesaw,WEAPON,"An electrostatic autogun that fires rapid bursts of charged flechettes, tearing through exposed hull plating and overwhelming point-defense screens at close quarters.",Assault,,
magellan_bonesaw_ftr,WEAPON,"A compact Bonechipper autogun firing charged flechette bursts, optimized for high-speed interceptor dogfights.",Assault,,
magellan_boneshaker,WEAPON,A twin-barrel electrostatic cannon coupling reliable flechette feed mechanisms with high-torque traversing motors for responsive brawling fire.,Assault,,
magellan_boneshaker_ftr,WEAPON,A twin-linked fighter turret that delivers rapid flechette salvos to shred enemy strike wings.,Assault,,
magellan_boneshakerbattery,WEAPON,A triple-mount electrostatic cannon delivering massive volume of fire to overwhelm hostile armor and point defense.,Assault,,
magellan_bonerattler,WEAPON,"A quad-barrel turret housing dual-loading Boneshaker mechanisms, unleashing thunderous flechette salvos nicknamed the 'Valca Piano' across close-range brawls.",Assault,,
magellan_bonebreaker_marauder,WEAPON,A customized heavy autocannon firing overcharged kinetic slugs that generate violent EMP arcs across target weapons and engines on impact.,Anti Armor,,
magellan_burstmaster,WEAPON,"A large-caliber smoothbore artillery piece firing high-velocity explosive rounds to breach thick armor at long range, aided by a specialized autoloader.",Strike,,
magellan_bursttpc,WEAPON,"A massive spinal beam emitter integrated into the Hermann battlecruiser, projecting an intense particle beam that incinerates armor and hull across extreme ranges.",Strike,,
magellan_calliope_ftr,WEAPON,Fires rapid salvos of high-velocity kinetic rockets to overwhelm enemy shields during fighter attack runs.,Close Support,,
magellan_calliope_sm,WEAPON,A compact rocket rack firing high-velocity kinetic projectiles designed to rapidly overload hostile shield generators.,Close Support,,
magellan_calliope,WEAPON,A medium rocket launcher discharging dense kinetic salvos that severely stress shield emitters and force defensive venting.,Close Support,,
magellan_cbeam,WEAPON,"A rugged, extended-range pulse laser unit rated for ship-to-ship combat, prized for its reliability and thermal endurance.",Assault,,
magellan_crackerafm,WEAPON,Launches a salvo of four anti-fighter missiles with proximity-fused fragmentation warheads to clear interceptor screens.,Anti-Fighter,,
magellan_crackerftr,WEAPON,A fighter-mounted pod launching two anti-fighter fragmentation missiles.,Anti-Fighter,,
magellan_crackerftrdouble,WEAPON,Fires a double salvo of four anti-fighter fragmentation missiles to swat down incoming strike craft.,Anti-Fighter,,
magellan_crackerftrsingle,WEAPON,A single-tube launcher for an anti-fighter fragmentation missile.,Anti-Fighter,,
magellan_clusterlrm_builtin,WEAPON,"A hull-integrated launch system for Stormfire cluster missiles, holding massive internal reloads and supported by a slow-cycle munitions nanoforge.",Fire Support,,
magellan_cruiserlrm_builtin,WEAPON,"An integrated missile battery firing Balefire heavy fusion missiles, sustained by an internal fabrication suite for continuous long-range bombardment.",Fire Support,,
magellan_dualelectrontorp,WEAPON,"Launches a pair of high-yield electron torpedoes that release violent EMP discharge cascades across target hulls, disabling weapons and engines.",Strike,,
magellan_electrontorp,WEAPON,Fires an unstable plasma torpedo that detonates into a devastating EMP arc upon hull impact.,Strike,,
magellan_electrontorp_ftr,WEAPON,A strike craft payload delivering high-yield electron torpedoes to disable heavy combatants.,Strike,,
magellan_electrontorp_marauder,WEAPON,A synchronized bomber bay launching 900-range electron torpedoes to paralyze capital ship flux conduits.,Strike,,
magellan_dumbbombs,WEAPON,A heavy bomb bay holding massive unguided explosive warheads that rely on the launch ship's velocity to strike targets.,Strike,,
magellan_ebolter_ftr,WEAPON,A lightweight energy bolter effective against fighters and lightly armored hulls.,Anti-Fighter,,
magellan_emissile_ftr,WEAPON,A compact EMP missile designed to disable point defense and knock out enemy engines.,Close Support,,
magellan_emg_ftr,WEAPON,A dependable machine gun firing heavy slugs at high velocity to swat down enemy strike craft.,Anti-Fighter,,
magellan_estat_ftr,WEAPON,Twin-linked machine guns firing high-rate kinetic slugs for interceptor dogfights.,Anti-Fighter,,
magellan_fusbomb_ftr,WEAPON,"A compact bay for flux-primed fusion bombs, capable of inflicting heavy thermal damage on capital armor.",Strike,,
magellan_fusbomb_marauder,WEAPON,A synchronized bomber bay launching 900-range fusion bombs to incinerate heavy armor belts in a single synchronized strike.,Strike,,
magellan_hvyfusionbomb_barrage,WEAPON,"An array of heavy launch racks discharging massive, flux-primed fusion bombs to carpet target areas in thermonuclear fire.",Strike,,
magellan_hvyfusionbomb_pod,WEAPON,A heavy discharger for enormous fusion bombs capable of cracking the heaviest armor plates.,Strike,,
magellan_largemortar,WEAPON,"A massive, low-velocity artillery cannon firing heavy siege shells at extreme range. Detonations create massive blast waves that damage nearby escorts.",Fire Support,,
magellan_linkflak,WEAPON,A twin-barrel burst flak projector designed for supplemental point defense against missile swarms.,Point Defense,,
magellan_LKmissile_pod,WEAPON,Discharges high-speed kinetic rockets armed with electron compression charges to stress shields and disable onboard electronics simultaneously.,Close Support,,
magellan_maser,WEAPON,"An enormous direct-energy microwave projector adapted from ancient orbital power arrays. While largely ineffective against modern shields, hits on exposed hull produce ruinous electrical surges that fry internal electronics.",Fire Support,,
magellan_medciws,WEAPON,"A heavy rotary cannon in an armored housing, firing high-rate explosive shells to shred incoming missiles, fighters, and light frigates.",Point Defense,,
magellan_medciws_ftr,WEAPON,"A compact rotary cannon mounted on strike craft, providing fierce anti-missile and anti-fighter firepower.",Point Defense,,
magellan_medgatling,WEAPON,A high-velocity rotary autocannon that hammers enemy shields with relentless salvos of kinetic cluster shells.,Close Support,,
magellan_medhetlaser,WEAPON,A heavy plasma torch firing concentrated bursts of ultra-hot plasma to melt through composite armor and hull plates.,Strike,,
magellan_medpdmaser,WEAPON,"Three synchronized maser emitters linked to an integrated predictive tracking computer, swiftly neutralizing incoming missile salvos at low flux cost.",Point Defense,,
magellan_mfc,WEAPON,"A modular heavy fusion cannon developed by the Skytiger Guard, delivering devastating thermal alpha strikes to counter heavy enemy line combatants.",Strike,,
magellan_minifusion_lance,WEAPON,An oversized beam lance integrated into heavy strike craft power conduits to shear armor during high-speed attack runs.,Strike,,
magellan_quenchcannon,WEAPON,A massive spinal magnetic accelerator firing hypervelocity slugs that stress shields and spall into lethal fragments behind penetrated armor.,Close Support,,
magellan_quenchgun,WEAPON,"An advanced magnetic cannon firing high-velocity slugs with pinpoint accuracy, devastating enemy shields and creating deadly interior spalling.",Close Support,,
magellan_ripfireftr,WEAPON,"A fighter-mounted bay launching salvos of light, fast short-range missiles to chip away at enemy armor belts.",Close Support,,
magellan_ripfiresrm,WEAPON,A compact launcher discharging rapid salvos of five fast short-range missiles to overwhelm hostile point defense.,Close Support,,
magellan_ripfiresrmpod,WEAPON,A medium missile pod firing ten rapid short-range missiles in sustained saturation barrages.,Close Support,,
magellan_rendfiresrmpod,WEAPON,A heavy fifteen-tube short-range missile launcher delivering overwhelming saturation salvos in close-quarters brawls.,Close Support,,
magellan_revgrenade,WEAPON,A revolver-breech grenade launcher firing high-explosive charges in rapid succession to breach damaged armor.,Strike,,
magellan_revgrenade_ftr,WEAPON,A strike craft grenade launcher firing explosive canisters into enemy hulls during strafing runs.,Assault,,
magellan_salvoag,WEAPON,A battery of small rifled cannons firing synchronized salvos of explosive shells at medium range.,Strike,,
magellan_smartafm_bay,WEAPON,Launches agile anti-fighter missiles equipped with proximity-fused explosive warheads.,Anti-Fighter,,
magellan_smciws,WEAPON,An armored rotary point-defense cannon firing rapid explosive shells to intercept incoming torpedoes and strike craft.,Point Defense,,
magellan_smciws_ftr,WEAPON,A lightweight rotary cannon for strikecraft point defense and strafing runs.,Point Defense,,
magellan_smgatling,WEAPON,"A carousel-style rotary autocannon with individually recoiling barrels, delivering exceptional accuracy and sustained kinetic shield pressure.",Close Support,,
magellan_smhetlaser,WEAPON,A compact plasma torch firing sustained bursts of superheated plasma that rapidly devour exposed armor plates.,Strike,,
magellan_smpdmaser,WEAPON,A high-efficiency microwave emitter that rapidly detonates incoming missiles at virtually zero flux cost.,Point Defense,,
magellan_smpulse_laser,WEAPON,A dependable lightweight pulse laser commonly fitted to civilian and escort vessels across Magellan space.,Close Support,,
magellan_sniperautogun,WEAPON,"An accurate, long-range autocannon allowing smaller combatants to apply consistent kinetic pressure from long distances.",Close Support,,
magellan_slamfire_rack,WEAPON,A launch rack of high-speed dumbfire torpedoes with blistering terminal velocity to punch through point-defense screens.,Strike,,
magellan_slamfire_single,WEAPON,A single-tube launcher for a high-speed dumbfire torpedo.,Strike,,
magellan_slamfire_tube,WEAPON,An internal tube launching high-speed dumbfire torpedoes in rapid succession.,Strike,,
magellan_solenoidgun,WEAPON,"A simple magnetic rail cannon firing unusually large, dense kinetic slugs to batter hostile shields.",Fire Support,,
magellan_solenoidbattery,WEAPON,A heavy battery of magnetic rail cannons firing synchronized salvos of dense kinetic penetrators.,Fire Support,,
magellan_stratLRM_catapult,WEAPON,Fires two heavy two-stage strategic bombardment missiles with massive fragmentation warheads that blanket large areas in lethal shrapnel.,Close Support,,
magellan_stratLRM_launcher,WEAPON,"Fires a salvo of four long-range fragmentation missiles, devastating unshielded escorts and civilian vessels across broad orbital sectors.",Close Support,,
magellan_flakcharge,WEAPON,A compact flak projector mounted in an armored housing for close-in missile and fighter defense.,Point Defense,,
magellan_triflak,WEAPON,A triple-barrel flak projector providing reliable point-defense coverage against dense missile barrages.,Point Defense,,
magellan_witchfire_s,WEAPON,A compact self-guided kinetic kill vehicle utilizing a miniature weaponized Alcubierre drive to achieve terrifying terminal acceleration against shielded targets.,Anti Shield,,
magellan_witchfire_l,WEAPON,A heavy Alcubierre-accelerated kinetic missile capable of crushing capital ship shields in a single relativistic impact.,Anti Shield,,
magellan_cruisemissile_launcher,WEAPON,"""""...I wouldn't call it a precision weapon, but against slow targets? It'll do just fine.""""","- Iapetus McCollum, 'Unknown Munitions' holoshow",,
magellan_tribeamlaser,WEAPON,"""""It's harder than you'd think to make high-output lasers. So you take three smaller lasers, and you focus them on the exact same spot. Easier to cool, and great at melting armor.""""","- Iapetus McCollum, 'Unknown Munitions' holoshow",,
magellan_diffusiongun,WEAPON,"""""...in some tactical contexts, however, it's always acceptable to spray and pray.""""",- Breaching Tactics: A Small Unit Handbook,,
magellan_diffusionlaser,WEAPON,"""""Bravery has little to do with it. You get in the cockpit, and you roll the dice. Talent is simply a matter of not rolling snake eyes—plus good publicity.""""",- Attributed to Magellan fighter ace Maeillen Sxown,,
magellan_diffusionheavy,WEAPON,"""""Above a critical threshold, any deficits in armor penetration can be overcome by sheer, unrelenting volume of fire.""""",- Project Dominion Lead Researcher,,
magellan_ebolter,WEAPON,"""""...we shall be as fetters about the feet of the mighty, harrying them night and day with cries for justice.""""",- Traditional Leveller Slogan,,
magellan_scatterblaster,WEAPON,"""""...just scaled it up, and decided all the design flaws and unintended consequences were features.""""",- Production Report on Heavy Energy Mounts,,
magellan_trinitycannon,WEAPON,"""""The gun they want is so power hungry, it's even odds whether the enemy or our own flux grid blows up first. Honestly makes me wonder what the higher-ups at Fleet are thinking.""""",- Project Dominion Weapons Engineer,,
magellan_edefensor,WEAPON,"""""A sharpshooter's job is not merely to shoot, but to see clearly from a distance.""""",- Breaching Tactics: A Small Unit Handbook,,
magellan_eflak,WEAPON,"""""There is no power in the universe more steadfast and terrible than the voice of the people speaking up to say: Enough.""""",- The Little Purple Book,,
magellan_electrolance_med,WEAPON,"""""The oppressor swings their hammer to and fro against every stinging insect. We are more nimble.""""",- The Little Purple Book,,
magellan_electromissile_pod,WEAPON,"""""...one of these days, people are gonna get tired of livin' in underground tunnels and eatin' recycled waste, and they're not gonna write polite letters about it, neither.""""",- Overheard in a Jeshad Tramway Tunnel,,
