id,trigger,conditions,script,text,options,notes
CMSNTextSuitedPart2_magellan,CMSNTextSuitedPart2,$faction.id == magellan_protectorate,,"""In the name of the Protector and Fleet Command, I offer you commission as a privateer to the Magellan Fleet. Do you wish to sign on?""",,
CMSNTextWelcomePart1_magellan,CMSNTextWelcomePart1,$faction.id == magellan_protectorate,,"""Very well. On behalf of the Protector and the Magellan State, your Fleet privateer commission has been granted.""",,
CMSNTextWelcomePart2_magellan,CMSNTextWelcomePart2,$faction.id == magellan_protectorate,,"""Anything else I can do for you?""",,
CMSNTextChangeMind_magellan,CMSNTextChangeMind,$faction.id == magellan_protectorate,,"""Privateering isn't for everyone - especially not for a poor and isolated power, far from the centers of commerce. No one would blame you for being unwilling to face the guns of the Hegemony, after all.
Anything else I can do for you?""",,
CMSNResignAskToConfirm_magellan,CMSNResignAskToConfirm,$faction.id == magellan_protectorate,,"""Are you sure? $TheFaction needs people it can rely on, and turning your back like this won't be easily forgotten.""",,
CMSNResignConfirmed_magellan,CMSNResignConfirmed,$faction.id == magellan_protectorate,,"""I can see there's no changing your mind. For what it's worth, you have the Protector's gratitude for services rendered - however much that means these days.""",,
CMSNResignCancelled_magellan,CMSNResignCancelled,$faction.id == magellan_protectorate,,"""A fine choice. The Fleet can always use a talented spacer like yourself.""",,
#Exile Distress Beacon,,,,,,
beaconOpenDialogMagellanExileFleet_Secondary,OpenInteractionDialog,"$tag:magellan_exile_distressbeacon
$magellanWreckSecondary","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous distress beacon emits a looping message. The static crackle threatens to overwhelm the voice, which speaks with a thick, archaic accent.
""SOS: we have encountered insurmountable failures of multiple critical systems. Propulsion systems are no longer adequate to maintain formation. If there's anyone out there, send help.""",beaconLeave:Leave,
beaconOpenDialogMagellanExileFleetPrimary,OpenInteractionDialog,"$tag:magellan_exile_distressbeacon
$magellanWreckPrimary","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous distress beacon emits a looping message. The static crackle threatens to overwhelm the voice, which speaks with a thick, archaic accent.
""SOS: we have encountered insurmountable failures of multiple critical systems. Propulsion systems are no longer adequate to maintain formation. If there's anyone out there, send help.""",beaconLeave:Leave,
beaconOpenDialogMagellanExileFleetHomestar,OpenInteractionDialog,"$tag:magellan_exile_distressbeacon
$magellanWreckHomestar","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous distress beacon emits a looping message. The static crackle threatens to overwhelm the voice, which speaks with a thick, archaic accent.
""SOS: we have encountered insurmountable failures of multiple critical systems. Propulsion systems are no longer adequate to maintain formation. If there's anyone out there, send help.""",beaconLeave:Leave,
#Wreck dialogues,,,,,,
sal_magellanWreckDefault,OpenInteractionDialog,"$tag:salvageable
$faction.id == magellan_derelict","SalvageGenFromSeed
FireBest ShowSalvageEntityDetails
FireBest SalvageCheckHostile",Your $shipOrFleet approaches $aOrAn $nameInText left from the initial arrival of the Magellan exiles in the Sector.,,
sal_magellanSupplyBargeDetails,ShowSalvageEntityDetails,$customType == magellan_supplybarge_wreck,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo",This automated supply barge has been ravaged by centuries of exposure to charged particles and high velocity impacts of interstellar dust. Some systems still appear to be nominally active.,,
sal_magellanSupplyBargeDefenders,TriggerAutomatedDefenses,$customType == magellan_supplybarge_wreck,SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, multiple energy signatures are detected coming online from various points on and within the flayed hull of the logistics barge.",,
sal_magellanColonyShipDetails,ShowSalvageEntityDetails,$customType == magellan_colonyship_wreck,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo","The vast bulk of the automated colony ship is burned and battered by centuries of service to the exiled Fleet, a drifting forgotten hulk, though sensors indicate that some systems are still nominally active.",,
sal_magellanColonyShipDefendersBoth,TriggerAutomatedDefenses,"$customType == magellan_colonyship_wreck
$hasStation
$hasNonStation",SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, numerous strong energy signatures are detected coming online inside the darkened bays of the colony ship's vast hulk. Your sensors also detect several weapon emplacements powering up on a section of the colony ship itself.",,
sal_magellanColonyShipDefendersOnlyDrones,TriggerAutomatedDefenses,"$customType == magellan_colonyship_wreck
$hasNonStation",SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, numerous strong energy signatures are detected coming online inside the darkened bays of the colony ship's vast hulk.",,
sal_magellanColonyShipDefendersOnlyItself,TriggerAutomatedDefenses,"$customType == magellan_colonyship_wreck
$hasStation",SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, your sensors detect several weapon emplacements powering up on a section of the colony ship itself.",,
#Exile Mothership,,,,,,
MothershipFleetOpenDefault,BeginFleetEncounter,"$isStation
$faction.id == magellan_derelict
!$printedDesc",$printedDesc = true 0,"The massive, triangular shape of the mothership fills your viewscreen. A bridge officer re-scales the tactical target display so that its entire mass can be seen at once. 
The ancient, pitted form of the exile craft is striking; it embodies the hope and the desperation of the founding Magellan exiles, to trust their survival to this mote of dust in a journey that spanned light-years. What relics does this ship contain? What secrets of the long, forgotten history of the Magellan people are buried deep within some bay or alcove?
Your combat computer indicates that the mothership is under emergency AI control; the ship itself appears to be fully operational. Attempts at communication are met with no response.",,
sal_magellanMotherShipDetails,ShowSalvageEntityDetails,$customType == magellan_mothership_wreck,"ShowDefaultVisual
FireBest DerelictPrintExtraInfo","The vast bulk of the mothership is burned and battered by centuries of service to the exiled Fleet, a drifting forgotten hulk, though sensors indicate that some systems are still nominally active.",,
sal_magellanMotherShipDefendersBoth,TriggerAutomatedDefenses,"$customType == magellan_mothership_wreck
$hasStation
$hasNonStation",SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, numerous strong energy signatures are detected coming online inside the darkened bays of the mothership's vast hulk. Your sensors also detect several weapon emplacements powering up on a section of the mothership itself.",,
sal_magellanMotherShipDefendersOnlyDrones,TriggerAutomatedDefenses,"$customType == magellan_mothership_wreck
$hasNonStation",SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, numerous strong energy signatures are detected coming online inside the darkened bays of the mothership's vast hulk.",,
sal_magellanMotherShipDefendersOnlyItself,TriggerAutomatedDefenses,"$customType == magellan_mothership_wreck
$hasStation",SalvageDefenderInteraction,"As your $shipOrFleet moves in closer, your sensors detect several weapon emplacements powering up on a section of the mothership itself.",,
#Crucible Base dialogue,,,,,,
magellan_blackcollarBaseOpenDialog,PopulateOptions,"$tag:magellan_blackcollarBase
!$player.magellan_blackcollarBaseStoryDone","SetStoryOption magellan_blackcollarBaseStory 1 generic_story_point ui_char_spent_story_point ""Presented Domain tactical algorithms""",,"0:magellan_blackcollarBaseVisit:Visit the Blackcollar tomb
1:magellan_blackcollarBaseStory:Present rare Domain-era tactical doctrine algorithms to the regiment",Landing Dialogue
magellan_blackcollarBaseOpenDialog_Done,PopulateOptions,"$tag:magellan_blackcollarBase
$player.magellan_blackcollarBaseStoryDone",,,0:magellan_blackcollarBaseVisit:Visit the Blackcollar tomb,Landing Dialogue
magellan_blackcollarBaseVisit,DialogOptionSelected,$option == magellan_blackcollarBaseVisit,"SetShortcut magellan_blackcollarBaseLeave ""ESCAPE""","In stark contrast to the hollow triumphalism and gilded monuments of the Core Worlds, the Blackcollar memorial bay on Crucible Base is vast, echoing, and dead silent. The air is bone-cold, smelling faintly of ancient ozone and chilled composite armor.
At the center of the pressurized cavern—carved directly out of the keel of the original exile sporeship—rises a monumental monolith of matte-black carbon-titanium. The lower third is dense with laser-etched micro-inscriptions. Every fallen soldier of the Legion is recorded in immutable, egalitarian succession: Service ID, Name, Casualty Date, System Vector. There is no distinction of rank, caste, or origin; no flowery eulogies or moral judgments. Overhead, optical laser scribes hum in near-imperceptible pulses, engraving the latest casualties into the stone with pitiless mechanical precision.
Two Legionaries in matte-black powered armor stand motionless vigil with mag-clamped rifles, unblinking as statuary. As your HUD interfaces with the memorial's optical index, thousands of amber names flicker across your vision. You depart in subdued silence, humbled by the weight of so much sacrifice recorded with such clinical, uncompromising honor.",0:magellan_blackcollarBaseLeave:Return to station,Visit Dialogue
magellan_blackcollarBaseLeave,DialogOptionSelected,$option == magellan_blackcollarBaseLeave,FireAll PopulateOptions,,,Leave Dialogue
#Leveller Habitat dialogue,,,,,,
magellan_oldLevellerHabitatOpenDialog,PopulateOptions,$tag:magellan_oldLevellerHabitat,,,0:magellan_oldLevellerHabitatVisit:Visit the Leveller memorial wall,Landing Dialogue
magellan_leveller_qm_open,OpenInteractionDialog,$activePerson.magellan_leveller_quartermaster,,"Welcome to the forge, Captain. Out here in the Rose Nebula, our crews are working around the clock to keep our flotillas battle-ready against the Protectorate's iron grip. If you've come to fuel the cause, we have an insatiable appetite for heavy machinery, munitions, and combat supplies. What can your fleet spare?",,Quartermaster Greeting
magellan_leveller_qm_options,PopulateOptions,$activePerson.magellan_leveller_quartermaster,,,"0:magellan_oldLevellerHabitatMakeDonation:Donate equipment to the cause
1:magellan_rosebriar_insurgency_briefing:Inquire about active Leveller operations across the Sector
2:magellan_leveller_qm_leave:That will be all.",Quartermaster Options
magellan_leveller_qm_leave,DialogOptionSelected,$option == magellan_leveller_qm_leave,EndConversation,,,
magellan_oldLevellerHabitatVisit,DialogOptionSelected,$option == magellan_oldLevellerHabitatVisit,"SetShortcut magellan_oldLevellerHabitatLeave ""ESCAPE""","You follow the faded yellow guide-stripes through the vibration-rattled utility tunnels of Rosebriar. The air grows dense, heavy with the scent of ozone, machine coolant, and the faint, sweet tang of dried desert petals.
As the passage widens into the cavernous central atrium, you are met with a breathtaking, sprawling monument to defiance. The entire aft bulkhead is a jagged mosaic of memory. Thousands of artificial poppies—woven from red and purple syn-silk—cascade down the reinforced steel walls, framing the personal relics of those who fell to the Protectorate's guns.","0:magellan_monument_inspect_relics:Inspect the physical relics and jury-rigged weapons
1:magellan_monument_inspect_letters:Read the thermal flimsies and radical poetry
2:magellan_monument_inspect_footage:Watch the flickering CRT monitors
3:magellan_oldLevellerHabitatLeave:Leave the memorial",Visit Dialogue
magellan_monument_inspect_relics,DialogOptionSelected,$option == magellan_monument_inspect_relics,,"You step closer to a cluster of physical artifacts illuminated by amber lumen-strips. A cracked worker's hardhat rests on a shattered riot shield, both deeply scored by kinetic impacts. Beside them lies a jury-rigged kinetic carbine—its barrel warped from overheating, its stock wrapped in blood-stained grip tape.
A small holo-cube next to the weapon projects the grainy image of a young engineer, her face smeared with grease, raising the very same rifle in defiance. It is a testament to the brutal, asymmetric reality of the First Uprising: shipyard tools turned against military-grade armor.","0:magellan_oldLevellerHabitatVisit_return:Step back",Inspect Relics
magellan_monument_inspect_letters,DialogOptionSelected,$option == magellan_monument_inspect_letters,,"Pinned to the steel bulkhead with thick solder wire are hundreds of thermal flimsies. You lean in to read them. Many are radical manifestos demanding labor rights and an end to the Admiralty's martial law, their ink smeared by time and handling.
Others are desperately personal: last letters written to spouses left behind on Valca, poetry composed in the dark hours of a Protectorate siege, and crude sketches of a free Rosebriar. One crumpled note simply reads, ""They can bomb the habitats, but they cannot bomb the hunger.""","0:magellan_oldLevellerHabitatVisit_return:Step back",Inspect Letters
magellan_monument_inspect_footage,DialogOptionSelected,$option == magellan_monument_inspect_footage,,"In the center of the shrine, a bank of cracked, mismatched CRT monitors plays a silent, endless loop of shaky helmet-cam footage.
You watch a grainy, black-and-white charge through a Magellan logistics depot. Partisans throw homemade thermite charges into the treads of Protectorate heavy mechs before being cut down in a hail of autocannon fire. The camera falls sideways, capturing a final, freezing frame of a Magellan boot stepping over the lens. It is a grim, unflinching reminder of the blood already spilled in the name of liberty.","0:magellan_oldLevellerHabitatVisit_return:Step back",Inspect Footage
magellan_oldLevellerHabitatVisit_return,DialogOptionSelected,$option == magellan_oldLevellerHabitatVisit_return,,"You step back, taking in the full breadth of the memorial once more.
A group of off-duty dockers in patched, blast-scarred overalls stand nearby in hushed reverie. As you approach, one of them raises a battered tin cup toward the flickering screens. The first rebellion may have been drowned in fire by the Admiralty's boot, but this memorial does not mourn defeat. It smolders with the quiet, terrifying certainty that the second revolution is merely waiting for the spark.","0:magellan_monument_inspect_relics:Inspect the physical relics and jury-rigged weapons
1:magellan_monument_inspect_letters:Read the thermal flimsies and radical poetry
2:magellan_monument_inspect_footage:Watch the flickering CRT monitors
3:magellan_oldLevellerHabitatLeave:Leave the memorial",Return
magellan_oldLevellerHabitatLeave,DialogOptionSelected,$option == magellan_oldLevellerHabitatLeave,FireAll PopulateOptions,,,Leave Dialogue
magellan_oldLevellerHabitatDonationAlreadyMade,DialogOptionSelected,"$option == magellan_oldLevellerHabitatMakeDonation
$entity.magellan_LevellerDonationMade score:150",,"The Leveller logistics quartermaster hails you over an encrypted comm-link, shaking their head against a backdrop of humming gantry cranes.
""Your solidarity is noted, Captain, but our engineering bays are still processing your last shipment across the Rose Nebula berths. If we stack any more munitions crates in plain view of the airlocks, Protectorate reconnaissance skiffs will pick up the thermal bloom. Let us cycle this materiel through the refit lines before you haul in another payload.""",0:magellan_oldLevellerHabitatLeave:Return to station,
magellan_oldLevellerHabitatDonationMenu,DialogOptionSelected,"$option == magellan_oldLevellerHabitatMakeDonation
!$player.magellan_oldLevellerHabitatStoryDone","SetStoryOption magellan_oldLevellerHabitatStory 1 generic_story_point ui_char_spent_story_point ""Shared classified patrol intel""","You pass through reinforced hydraulic bulkheads flanked by armed sentries into the subterranean engineering caverns of Rosebriar Station. The cavernous docking bays thunder with the roar of plasma torches and the heavy thud of hydraulic presses as insurgent mechanics refit turncoat warships for the struggle.
A logistics quartermaster in grease-stained tactical coveralls wipes soot from their brow and looks up from a flickering holographic schematic.
""Welcome to the forge, Captain. Out here in the Rose Nebula, our crews are working around the clock to keep our flotillas battle-ready against the Protectorate's iron grip. If you've come to fuel the cause, we have an insatiable appetite for heavy machinery, munitions, and combat supplies. What can your fleet spare?""","0:magellan_oldLevellerHabitatDonateA:Field Repair Aid (50 Heavy Machinery)
1:magellan_oldLevellerHabitatDonateB:Industrial Foundry Support (200 Heavy Machinery)
2:magellan_oldLevellerHabitatDonateC:Arms & Munitions Delivery (100 Hand Weapons, 100 Supplies)
3:magellan_oldLevellerHabitatCancelDonation:Never mind
4:magellan_oldLevellerHabitatStory:Share classified Protectorate patrol schedules with the insurgents",
magellan_oldLevellerHabitatDonationMenu_StoryDone,DialogOptionSelected,"$option == magellan_oldLevellerHabitatMakeDonation
$player.magellan_oldLevellerHabitatStoryDone",,"You pass through reinforced hydraulic bulkheads flanked by armed sentries into the subterranean engineering caverns of Rosebriar Station. The cavernous docking bays thunder with the roar of plasma torches and the heavy thud of hydraulic presses as insurgent mechanics refit turncoat warships for the struggle.
A logistics quartermaster in grease-stained tactical coveralls wipes soot from their brow and looks up from a flickering holographic schematic.
""Welcome to the forge, Captain. Out here in the Rose Nebula, our crews are working around the clock to keep our flotillas battle-ready against the Protectorate's iron grip. If you've come to fuel the cause, we have an insatiable appetite for heavy machinery, munitions, and combat supplies. What can your fleet spare?""","0:magellan_oldLevellerHabitatDonateA:Field Repair Aid (50 Heavy Machinery)
1:magellan_oldLevellerHabitatDonateB:Industrial Foundry Support (200 Heavy Machinery)
2:magellan_oldLevellerHabitatDonateC:Arms & Munitions Delivery (100 Hand Weapons, 100 Supplies)
3:magellan_oldLevellerHabitatCancelDonation:Never mind",
magellan_oldLevellerHabitatDonateA_Enough,DialogOptionSelected,"$option == magellan_oldLevellerHabitatDonateA
$player.heavy_machinery >= 50","SetTextHighlightColors buttonShortcut
SetTextHighlights 50","The quartermaster taps the requisitions terminal with an appreciative nod. ""Fifty units of heavy machinery will keep three emergency drydock teams running double shifts, repairing punctured armor belts and replacing sheared thruster mounts on our commerce raiders.""
Do you wish to transfer 50 units of heavy machinery to the Leveller engineering corps?","0:magellan_oldLevellerHabitatGiveDonationA:Confirm transfer of 50 heavy machinery
1:magellan_oldLevellerHabitatCancelDonation:Never mind",
magellan_oldLevellerHabitatDonateA_NotEnough,DialogOptionSelected,"$option == magellan_oldLevellerHabitatDonateA
$player.heavy_machinery < 50","SetTextHighlightColors buttonShortcut
SetTextHighlights 50","The quartermaster reviews your cargo manifest with a rueful grimace. ""Field repair operations require at least 50 units of functional heavy machinery to power our drydock gantries. Your fleet's holds do not currently carry enough hardware.""",0:magellan_oldLevellerHabitatLeave:Return to station,
magellan_oldLevellerHabitatGiveDonationA,DialogOptionSelected,$option == magellan_oldLevellerHabitatGiveDonationA,"AddText ""You transfer 50 units of heavy machinery to the Leveller engineering corps.""
AddRemoveCommodity heavy_machinery -50 true
AdjustRep magellan_leveller SHRINE_OFFERING
$entity.magellan_LevellerDonationMade = true 20
$global.magellan_leveller_logistics_score += 25
FireAll PopulateOptions",,,
magellan_oldLevellerHabitatDonateB_Enough,DialogOptionSelected,"$option == magellan_oldLevellerHabitatDonateB
$player.heavy_machinery >= 200","SetTextHighlightColors buttonShortcut
SetTextHighlights 200","The quartermaster lets out a low whistle over the din of the foundries. ""Two hundred units of industrial heavy machinery... With tooling of this caliber, our subterranean casting pits can forge capital-grade composite armor plates and machine entire spinal coil-assemblies directly from asteroid ore.""
Do you wish to transfer 200 units of heavy machinery to the Rosebriar industrial foundries?","0:magellan_oldLevellerHabitatGiveDonationB:Confirm transfer of 200 heavy machinery
1:magellan_oldLevellerHabitatCancelDonation:Never mind",
magellan_oldLevellerHabitatDonateB_NotEnough,DialogOptionSelected,"$option == magellan_oldLevellerHabitatDonateB
$player.heavy_machinery < 200","SetTextHighlightColors buttonShortcut
SetTextHighlights 200","The quartermaster checks the depot manifests and shakes their head. ""Re-tooling our foundry lines requires a full shipment of 200 heavy machinery units. Your fleet does not possess the requisite industrial hardware.""",0:magellan_oldLevellerHabitatLeave:Return to station,
magellan_oldLevellerHabitatGiveDonationB,DialogOptionSelected,$option == magellan_oldLevellerHabitatGiveDonationB,"AddText ""You transfer 200 units of heavy machinery to the Rosebriar industrial foundries.""
AddRemoveCommodity heavy_machinery -200 true
AdjustRep magellan_leveller SYSTEM_BOUNTY
$entity.magellan_LevellerDonationMade = true 40
$global.magellan_leveller_logistics_score += 100
FireAll PopulateOptions",,,
magellan_oldLevellerHabitatDonateC_Enough,DialogOptionSelected,"$option == magellan_oldLevellerHabitatDonateC
$player.hand_weapons >= 100
$player.supplies >= 100","SetTextHighlightColors buttonShortcut buttonShortcut
SetTextHighlights 100 100","The quartermaster's eyes gleam as they inspect the cargo scan. ""One hundred crates of tactical firearms and one hundred containers of sealed supplies. That's enough small arms to equip three covert insurgent cells on the inner worlds, and enough field rations to sustain our boarding cadres through a protracted naval blockade.""
Do you wish to deliver 100 hand weapons and 100 supplies to the Leveller insurgent armory?","0:magellan_oldLevellerHabitatGiveDonationC:Confirm delivery of 100 hand weapons and 100 supplies
1:magellan_oldLevellerHabitatCancelDonation:Never mind",
magellan_oldLevellerHabitatDonateC_NotEnough,DialogOptionSelected,$option == magellan_oldLevellerHabitatDonateC,"SetTextHighlightColors buttonShortcut buttonShortcut
SetTextHighlights 100 100","The quartermaster taps the slate in frustration. ""An arms and provisions run requires a baseline delivery of 100 units of hand weapons and 100 units of supplies. Your fleet lacks the required materiel.""",0:magellan_oldLevellerHabitatLeave:Return to station,
magellan_oldLevellerHabitatGiveDonationC,DialogOptionSelected,$option == magellan_oldLevellerHabitatGiveDonationC,"AddText ""You deliver 100 hand weapons and 100 supplies to the Leveller insurgent armory.""
AddRemoveCommodity hand_weapons -100 true
AddRemoveCommodity supplies -100 true
AdjustRep magellan_leveller HIGH_IMPACT_BOUNTY
$entity.magellan_LevellerDonationMade = true 40
$global.magellan_leveller_logistics_score += 125
FireAll PopulateOptions",,,
magellan_oldLevellerHabitatCancelDonation,DialogOptionSelected,$option == magellan_oldLevellerHabitatCancelDonation,FireAll PopulateOptions,,,
magellan_rosebriar_insurgency_briefing,DialogOptionSelected,$option == magellan_rosebriar_insurgency_briefing,"magellan_rosebriar_insurgency_briefing","You step onto the observation catwalk above the subterranean coordination nexus. Holographic tactical projectors cast a crimson glow across the steel chamber, tracing hyperspace jump vectors, commercial shipping arteries, and underground partisan cells embedded across Magellan space.
""We strike from the heart of the Rose Nebula, Captain,"" the Rebel Coordinator explains, pointing to pulsing convoy markers on the holomap. ""Our commerce raiders bleed the Protectorate's logistical veins, while our smugglers slip heavy arms past naval cordons to arm worker cadres on the factory worlds. Every crate of steel and shot you deliver directly strengthens these sorties across the Sector.""",0:magellan_oldLevellerHabitatLeave:Return to station,Insurgency Briefing
#Meetpoint Turan dialogue,,,,,,
magellan_meetpointOpenDialog,OpenInteractionDialog,$tag:magellan_meetpointInt,"PrintDescription 1
AddText ""Meetpoint Turan is owned and governed by the Guild of Free Traders, administered by a stationmaster elected during their biannual open conclave. It remains one of the few ports in the sector where an ordinary spacer is treated as a shared stakeholder rather than an expendable vagrant. The atmospheric scrubbers run clean, the taverns serve unwatered spirits, and the dock wardens are unarmed and genuinely helpful—a stark and welcome departure from the suffocating bureaucracy of the Core Worlds.""
ShowDefaultVisual
FireBest magellan_meetpointMainOptions",,,Landing Dialogue
magellan_meetpointMainOptions,magellan_meetpointMainOptions,,"SetShortcut magellan_meetpointLeave ""ESCAPE""",,"0:magellan_meetpointVisit:Visit the Free Trader's guildhall
10:magellan_meetpointLeave:Leave","Menu Options, starting with 0"
magellan_meetpointVisit,DialogOptionSelected,$option == magellan_meetpointVisit,"SetShortcut magellan_meetpointLeave ""ESCAPE""","The vaulted guildhall is alive with the warmth of spacer solidarity. Around long communal benches, merchanter families, belter miners, and void-weathered haulers share steaming pans of spicy red crab stew and fresh bread baked from hydroponic grain. An old prospector with a battered acoustic instrument strikes up a chord, and within moments half the hall joins in with clinking tin mugs:
...There once was a ship that plied the stars,
And the name of the ship was the Lily of Mars,
The hyper storms ripped her up and down,
Take hold, ye spacers, take hold...
...Soon may the salvageman come,
To bring us drugs and organs and guns,
One day, when the scavenging’s done,
We’ll take our leave and go.
After a chorus of hearty void-ballads and countless invitations to stay for 'just one more draft!', you take your leave with a warmed spirit and the rare feeling of true kinship among the stars.",magellan_meetpointLeave:Leave,Visit Dialogue
magellan_meetpointLeave,DialogOptionSelected,$option == magellan_meetpointLeave,DismissDialog,,,Leave Dialogue
# Herd relations,,,,,,
relLevelNeutralHerd,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == magellan_theherd",,"You've been around pirates, smugglers, and other types of criminals often enough, and know how to act so they see you as one of their own.",,
relLevelWelcomingHerd,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == magellan_theherd",,"You've gained a measure of notoriety in the underworld of Magellan space, and know how to throw your weight around to get what you want.",,
relLevelFriendlyHerd,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == magellan_theherd",,You've proven useful to some of the leaders of the various criminal enterprises in the Sector. Harassing you is more trouble than it's worth.,,
