id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,number
#Standard,,,,,,,,,,,,,,,,
magellan_bomber_civ_wing,magellan_bomber_civ_support,"fighter3, fighter, rare_bp, hist1t, magellan, magellan_civ, roider, merc",1,,7,15,V,0,2000,750,2,SUPPORT,Fire Support,20,8000,11
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#Blackcollars,,,,,,,,,,,,,,,,
magellan_corvette_blackcollar_wing,magellan_corvette_blackcollar_corvette,"leader_no_swarm, match_leader_facing, no_drop, no_sell, restricted",3,,9,18,CLAW,4000,400,-300,2,FIGHTER,Gunship,20,24000,3
magellan_bomber_blackcollar_wing,magellan_bomber_blackcollar_bomber,"leader_no_swarm, wingmen_no_swarm, match_leader_facing, attack_at_an_angle, no_drop, no_sell, restricted",2,,9,20,V,4000,1100,,2,BOMBER,Missile Bomber,15,7000,10
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#Smugglers,,,,,,,,,,,,,,,,
magellan_flakdrone_smuggler_single_wing,magellan_flakdrone_smuggler_drone,"no_drop, no_sell, restricted",0,,4,0,CLAW,0,200,,1,SUPPORT,Support,15,6000,19
magellan_flakdrone_smuggler_wing,magellan_flakdrone_smuggler_drone,"no_drop, no_sell, restricted",0,,8,0,CLAW,0,200,,2,SUPPORT,Support,15,6000,19
,,,,,,,,,,,,,,,,
#Marauders,,,,,,,,,,,,,,,,
magellan_bomber_marauder_wing,magellan_bomber_marauder_fighter,"no_drop, no_sell, restricted",0,,9,18,V,4000,2000,,2,BOMBER,Bomber,20,21000,13
magellan_hvyfighter_marauder_wing,magellan_hvyfighter_marauder_fighter,"stay_in_front_of_ship, no_drop, no_sell, restricted",0,,12,20,V,4000,300,,3,FIGHTER,Fighter,10,50000,7
magellan_corvette_marauder_wing,magellan_corvette_marauder_corvette,"stay_in_front_of_ship, no_drop, no_sell, restricted",0,,10,22,CLAW,4000,300,,2,FIGHTER,Gunship,20,65000,6
magellan_corvette_strikecraft_marauder_wing,magellan_corvette_strikecraft_marauder_custom,"stay_in_front_of_ship, no_drop, no_sell, restricted",0,,12,30,CLAW,4000,300,,1,FIGHTER,Ace Gunship,20,100000,6
magellan_hvyfighter_strikecraft_marauder_wing,magellan_hvyfighter_strikecraft_marauder_custom,"stay_in_front_of_ship, no_drop, no_sell, restricted",0,,12,30,V,4000,300,,1,FIGHTER,Ace Fighter,20,100000,7
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#Levellers,,,,,,,,,,,,,,,,
magellan_dard_wing,magellan_interceptor_Interceptor,"no_drop, no_sell, restricted",0,,2,2,CLAW,3000,300,,4,INTERCEPTOR,Interceptor Drone,6,6000,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
