trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
magellan_electrontorp_trail,magellan_electrontorp_shot,projectile_trail_standard,10,0,0.1,0.5,24,12,"[50,50,90]","[45,45,45]",0.8,400,-400,0,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_electrontorp_core,magellan_electrontorp_shot,projectile_trail_standard,10,0,0.1,0.05,15,9,"[135,150,255]","[0,0,10]",1,400,-400,0,10,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_electrontorp_ftr_trail,magellan_electrontorp_ftr_shot,projectile_trail_standard,10,0,0.1,0.5,18,9,"[50,50,90]","[45,45,45]",0.8,400,-400,0,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_electrontorp_ftr_core,magellan_electrontorp_ftr_shot,projectile_trail_standard,10,0,0.1,0.05,10,6,"[135,150,255]","[0,0,10]",1,400,-400,0,10,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_bursttpc_trail,magellan_bursttpc_shot,projectile_trail_standard,10,0,0.1,0.6,10,5,"[255,75,75]","[50,10,10]",0.7,300,-180,0,3,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_bursttpc_core,magellan_bursttpc_shot,projectile_trail_standard,10,0,0.1,0.3,5,3,"[225,200,255]","[125,100,155]",1,300,-180,0,3,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
magellan_fuelrod_glow,magellan_fuelrod_shot,projectile_trail_standard,10,0,0.1,0.2,30,15,"[173,255,47]","[73,155,0]",1,400,400,0,20,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_fuelrod_trail,magellan_fuelrod_shot,projectile_trail_cel,10,0,0.15,0.45,9,9,"[173,255,47]","[23,105,0]",0.75,400,400,0,-5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_fuelscatter_sub_trail,magellan_fuelscatter_sub_shot,projectile_trail_cel,10,0,0.05,0.15,8,4,"[143,200,17]","[13,75,0]",0.75,400,400,0,0,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
magellan_ebolter_trail,magellan_ebolter_shot,projectile_trail_cel,10,0,0.1,0.15,12,12,"[100,110,255]","[50,55,155]",0.8,400,400,0,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_ebolter_core,magellan_ebolter_shot,projectile_trail_standard,10,0,0.05,0.05,10,5,"[135,150,255]","[75,90,200]",1,400,400,0,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_scatterblaster_trail,magellan_scatterblaster_shot,projectile_trail_cel,10,0,0.15,0.25,40,24,"[240,30,90]","[140,0,30]",0.8,400,400,0,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_scatterblaster_core,magellan_scatterblaster_shot,projectile_trail_standard,10,0,0.08,0.08,28,12,"[240,30,90]","[190,0,40]",1,400,400,0,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_trinitycannon_trail,magellan_trinitycannon_shot,projectile_trail_cel,10,0,0.12,0.2,32,18,"[240,30,90]","[140,0,30]",0.8,400,400,0,5,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_trinitycannon_core,magellan_trinitycannon_shot,projectile_trail_standard,10,0,0.06,0.06,21,8,"[240,30,90]","[190,0,40]",1,400,400,0,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_shockfire_trail,magellan_eneedle_missile,projectile_trail_standard,10,0,0.2,1,12,24,"[25,60,90]","[45,45,45]",0.8,400,-400,0,-10,0.1,0.1,TRUE,FALSE,TRUE,20,60,0.2,0,0,100,true,false
magellan_strikemissile_trail,magellan_strikefighter_missile,projectile_trail_standard,10,0,0.4,1,12,24,"[25,60,90]","[45,45,45]",0.8,400,-400,0,-10,0.1,0.1,TRUE,FALSE,TRUE,10,30,0.1,0,0,50,true,false
magellan_diffusiongun_trail,magellan_diffusiongun_shot,projectile_trail_cel,10,0,0.05,0.15,6,9,"[160,145,255]","[60,45,155]",0.8,400,-1200,0,10,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
magellan_diffusionlaser_trail,magellan_diffusionlaser_shot,projectile_trail_cel,10,0,0.1,0.2,9,12,"[160,145,255]","[60,45,155]",0.8,400,-1200,0,10,0,1,FALSE,FALSE,TRUE,10,0,0,0,0,0,false,false
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
magellan_supersolenoid_sm_trail,magellan_supersolenoid_sm_shot,projectile_trail_standard,10,0,0.15,0.8,20,40,"[40,180,210]","[5,90,105]",0.9,400,-2000,0,10,0,1,FALSE,TRUE,TRUE,10,20,0.15,0,25,75,true,false
magellan_supersolenoid_sm_core,magellan_supersolenoid_sm_shot,projectile_trail_cel,10,0,0.3,0.6,5,3,"[190,225,255]","[20,80,100]",1,400,-2000,0,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,25,100,true,false
magellan_supersolenoid_sm_ring,magellan_supersolenoid_sm_shot,projectile_trail_ring,10,0,0.08,0.2,20,20,"[140,180,210]","[40,180,210]",1,40,-2500,0,5,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_supersolenoid_trail,magellan_supersolenoid_shot,projectile_trail_standard,10,0,0.2,1,32,60,"[40,180,210]","[5,90,105]",0.9,400,-1800,0,10,0,1,FALSE,TRUE,TRUE,10,20,0.15,0,25,75,true,false
magellan_supersolenoid_core,magellan_supersolenoid_shot,projectile_trail_cel,10,0,0.5,0.9,9,6,"[190,225,255]","[20,80,100]",1,400,-1800,0,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,25,100,true,false
magellan_supersolenoid_ring,magellan_supersolenoid_shot,projectile_trail_ring,10,0,0.1,0.24,32,32,"[140,180,210]","[40,180,210]",1,40,-2400,0,5,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
magellan_balefire_trail,magellan_balefire,projectile_trail_standard,10,0,0.3,1.2,18,36,"[75,40,60]","[45,45,45]",0.8,400,-400,0,-10,0.1,0.1,TRUE,FALSE,TRUE,20,60,0.2,0,0,100,true,false
magellan_balefiresmall_trail,magellan_balefiresmall,projectile_trail_standard,10,0,0.2,0.9,18,36,"[75,40,60]","[45,45,45]",0.8,400,-400,0,-7.5,0.1,0.1,TRUE,FALSE,TRUE,20,60,0.2,0,0,100,true,false
magellan_electroncatapult_shot_trail,magellan_electroncatapult_shot,projectile_trail_standard,10,0,0.1,0.5,24,12,"[50,50,90]","[45,45,45]",0.8,400,-400,TRUE,5,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,FALSE,FALSE
magellan_electroncatapult_shot_core,magellan_electroncatapult_shot,projectile_trail_standard,10,0,0.1,0.05,15,9,"[135,150,255]","[0,0,10]",1,400,-400,TRUE,10,0,1,TRUE,TRUE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#magellan_flenser_builtin_tracer_shot_trail_smoke,magellan_flenser_builtin_tracer_shot,base_trail_smoke,10,0,0.05,0.075,5,10,"[150,150,150]","[120,120,120]",0.5,300,-300,TRUE,5,25,1,TRUE,FALSE,TRUE,25,50,1,0,0,35,TRUE,FALSE
#magellan_flenser_builtin_tracer_shot_trail_core,magellan_flenser_builtin_tracer_shot,projectile_trail_standard,10,0,0,0.075,5,1,"[215,175,115]","[180,140,75]",0.8,200,200,TRUE,5,0,1,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
